Linha,Ordem,Descrição da Ordem,Estabelecimento,Nome Estabelecimento,Equipamento,Nome Equipamento,Tag,Descrição do Tag,Tipo de Manutenção,Descrição do Tipo Manutenção,Manutenção,Descrição da Manutenção,Plano,Urgência,Criticidade,Prioridade,Data Manutenção,Data Termino,Previsão Término,Inicio mais cedo,Inicio mais tarde,Data Inicio Original,Data Reabertura,Data Realocação,Data Prevista Manutenção,Parada,Descrição da Parada,Projeto,Descrição do Projeto,Analista,Nome do Analista,Planejador,Nome do Planejador,Equipe,Nome da Equipe,Causa,Descrição Causa,Sintoma,Descrição Sintoma,Intervenção,Descrição Intervenção,Empresa,Ord. Investimento,Conta da Ordem,Conta de Investimento,Ordem de Origem,Tarefa de Origem,Valor Contador,Valor Contador Acumulado,Taxa Produção,Custo Hora,Tempo Parada,Horas Reportadas,Valor Material,Valor Mão de Obra,Valor GGF,Estado,Estado OM,Estado da Preditiva,Usuário de Criação,Ordem Impressa,Observação Encerramento OM
0000000249,1264905,Conserto Teclado Sopradora,1,METALURGICA MOR S.A - MATRIZ,14.627/000,MAQ Nº 4 PAVAN ZANETTE MOLDAGEM SOPRO HDL30L/,14627_N04,MAQ Nº 4 PAVAN ZANETTE MOLDAGEM SOPRO,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,24/04/2025,,25/04/2025,24/04/2025,24/04/2025,24/04/2025,,,24/04/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"2577,3",0,0,Requisitada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,Conserto Teclado Sopradora
0000000250,1265130,"SERVIÇOES TERCEIROS, ATENDIMENTO TECNICO",1,METALURGICA MOR S.A - MATRIZ,14.627/000,MAQ Nº 4 PAVAN ZANETTE MOLDAGEM SOPRO HDL30L/,14627_N04,MAQ Nº 4 PAVAN ZANETTE MOLDAGEM SOPRO,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,25/04/2025,,26/04/2025,25/04/2025,25/04/2025,25/04/2025,,,25/04/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,6400,0,0,Requisitada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,
0000000251,1263899,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,1,METALURGICA MOR S.A - MATRIZ,15.337/000,INJETORA Nº 39 ENGEL 1350 T,15337_N38,INJETORA Nº 38 ENGEL 1350 T,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,15/04/2025,,16/04/2025,15/04/2025,15/04/2025,15/04/2025,,,15/04/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"9537,31",0,0,Requisitada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,"ATENDIMENTO ENGEL DIA 28/02/2025 -Havia sido identificados varias valvulas no sistema hidraulico com a presença de materia prima. -Encontrado o elemento logico QMO1 trancado no bloco de bombas,o mesmo foi limpo destrancado,logo foi revisado varias  valvulas nos blocos de injeção e bombas.  -Por final foi constatado que o volume da bomba 1 está dando um valor negativo(-5,600 vcc) e variado dando indicio que o prato  da bomba está trancando.  bomba será retirada pelo cliente,foi recomendado enviar para avaliação na rexroth.  -Máquina parada"
0000000252,1274832,CONSERTO EM CONJUNTO DE PONTEIRA,1,METALURGICA MOR S.A - MATRIZ,15.373/000,INJETORA Nº 04 CHEN HSONG 650 T,15373_N04,INJETORA Nº 4 CHEN HSONG 650 T,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,02/07/2025,,03/07/2025,02/07/2025,02/07/2025,02/07/2025,,,02/07/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,
0000000253,1260243,SERVIÇO DE CONSERTO EM SERVO DRIVER,1,METALURGICA MOR S.A - MATRIZ,15.374/000,INJETORA Nº 01 CHEN HSONG 800 T,15374_N01,INJETORA Nº 1 CHEN HSONG 800 T,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,2,500,21/03/2025,,22/03/2025,21/03/2025,21/03/2025,21/03/2025,,,21/03/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"16373,11",0,0,Requisitada,Não Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,
0000000254,1283937,buchas e colunas,1,METALURGICA MOR S.A - MATRIZ,16.052/000,MOLDE BISTRO RS,16052,MOLDE BISTRO (RJ),12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,26/08/2025,,27/08/2025,26/08/2025,26/08/2025,26/08/2025,,,26/08/2025,,,,,,,ADM_MOLDES,ADMINISTRAÇÃO MOLDES,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,marcos.si - Marcos Alexandre Moura da Siqueira,no,
0000000255,1227839,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,1,METALURGICA MOR S.A - MATRIZ,16.824/000,MOLDE PONTEIRA BIGGY,16824,MOLDE PONTEIRA BIGGY,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,15/08/2024,,16/08/2024,15/08/2024,15/08/2024,15/08/2024,,,15/08/2024,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,"907,5",0,0,Requisitada,Não Iniciada,Ok,pedro.bo - Pedro Ricardo Bortsmann Machado,no,
0000000256,1282481,ajuste beto,1,METALURGICA MOR S.A - MATRIZ,17.722/000,MOLDE BIGODE DIREITO 16,17722,MOLDE BIGODE DIREITO 16,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,18/08/2025,,19/08/2025,18/08/2025,18/08/2025,18/08/2025,,,18/08/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Liberada,Não Iniciada,Ok,marcos.si - Marcos Alexandre Moura da Siqueira,no,
0000000257,1276140,Ajustes rebarbas parafuso flip toptool,1,METALURGICA MOR S.A - MATRIZ,17.723/000,MOLDE PARAFUSO FLIP 3 ENTRADAS,17723,MOLDE PARAFUSO FLIP 3 ENTRADAS,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,10/07/2025,,11/07/2025,10/07/2025,10/07/2025,10/07/2025,,,10/07/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Liberada,Não Iniciada,Ok,marcos.si - Marcos Alexandre Moura da Siqueira,no,
0000000258,1280844,Aferição das gavetas,1,METALURGICA MOR S.A - MATRIZ,17.797/000,MOLDE BASE CABEÇA PRESSÃO,17797,MOLDE BASE CABEÇA PRESSÃO,12,Serviço Corretiva,71,SERVIÇO MANUTENÇÃO CORRETIVA TERCEIROS,Manutenção,2,1,200,08/08/2025,,09/08/2025,08/08/2025,08/08/2025,08/08/2025,,,08/08/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,,,,,,,,,1,0,18001010,41105020,0,0,0,0,0,0,0,0,0,0,0,Liberada,Não Iniciada,Ok,marcos.si - Marcos Alexandre Moura da Siqueira,no,
